cheese	milk	origin	region	family	kind	fat	calcium	rind	texture	color	flavor	aroma	producer	synonyms	alternative_spellings	vegetarian	description
Tartufo Riserva	unpasteurized sheep's milk	Italy	Tuscany	Pecorino	"hard, artisan"			natural	"compact, crumbly and firm"	straw	"earthy, fruity"	"aromatic, pleasant, pungent"	Caseificio Pinzani Srl				"Tartufo Riserva is an Italian, raw, sheep's milk cheese encrusted with small specks of white and black truffles and at least 6 months for a firmer, compact paste. The cheese pairs well with cured raw beef and garden rocket salad seasoned with Tuscan extra virgin olive oil."
Tasmania Highland Chevre Log	goat's milk	Australia	Tasmania		semi-hard	35%					lemony	fresh					"Tasmania Highland Chevre Log is a fresh farmhouse cheese in Australia, made from goat's milk. Two versions of this cheese are available, plain and ash-covered. The cheese is moist with a cheesecake texture. It has a fresh, lemony flavor. The ageing process can take from one to three weeks. It is a table cheese but also ideal for grilling. It is best paired with champagne or a stately Riesling. The fat content in the cheese amounts to around 35%."
Tasty Lancashire	pasteurized or unpasteurized cow's milk	England	Lancashire		"hard, artisan"	25%	10 mg/100g	natural	smooth	pale yellow	"buttery, nutty"		"Butlers Farmhouse Cheeses, Dewlay Products Ltd, Kirkhams Lancashire Cheese Ltd, Leagram Organic Cheese, Singletons’ Dairy"	Lancashire cheese			"Cheese has been produced in Lancashire for more than 700 years. There was hardly enough milk for farmers to make the cheese. Without the aid of refrigeration, it was best to turn any leftover milk to curd. Curd from the second day's milk was added to the first and even from the third. This is how Lancashire cheese is still made today from cow's milk. When creamy Lancashire cheese further matures, the flavor of the cheese intensifies. This cheese can be aged for up to 24 months. This cheese is then classified as Tasty Lancashire cheese. Tasty Lancashire is rich, smooth with a nutty and buttery flavor. The tasty Lancashire cheese is best had with bread, pickle, or a Real ale beer."
Tavoliere	pasteurized cow's milk	Italy	Veneto		semi-firm			natural	firm and open	pale yellow	"subtle, tangy"	"buttery, lactic"	La Casearia Carpenedo S.r.l.			no	"Talvoliere is a semi-firm cheese made from pasteurized cow's milk. It is matured for 45 days, during which the rind is treated with tomato sauce and extra-virgin olive oil. The interior of the cheese has a distinctive appearance as the paste is riddled with random sized large eyelets. Flavor is delicate with a slight tang while the aroma is reminiscent of yoghurt and butter, with only a hint of tomato near the rind. Sauvignon Blanc or pale ale makes a great match with Talvoliere."
TeaHive	pasteurized cow's milk	United States	Utah	Cheddar	"hard, artisan"			natural	firm	pale yellow	"creamy, milky"	"aromatic, fruity"	Beehive Cheese Company			yes	"TeaHive is a cheddar-style, aromatic cheese made with pasteurized Jersey milk. It is produced by Beehive Cheese Company in Utah, United States. A mixture of black tea and bergamot orange is hand-rubbed on a one-day-old cheese and allowed to mature for over 8 months in a humidity controlled facility. Fully aged cheese is rich, milky in flavor with a delicate aroma of orange blossoms. It pairs well with fruit-forward or floral wines, pilsners, and chocolate stouts. Teahive can be eaten with biscuits or marmalade. The cheese has won 1st place at the American Cheese Society competition in 2012."
Tegan	unpasteurized cow's milk	Sweden	Oviken		"hard, artisan"	20%		natural	dry	straw	"acidic, earthy, fruity, mild"		Oviken cheese				Tegan is a hard cheese made with a blend of unpasteurized whole and skimmed cow's milk. The cheese is pressed lightly and its surface is dry brushed regularly for a distinctive appearance. The flavor is fruity with a slight acidity and mild earthy tones. Tegan is matured for at least three months and contains 20% fat.
Teifi	unpasteurized cow's milk	"Great Britain, United Kingdom and Wales"	Ceredigion	Gouda	"semi-hard, artisan"			natural	"creamy, dense, flaky, smooth and stringy"	yellow	"mild, savory, spicy, sweet"	"aromatic, rich, smokey"	Caws Teifi Cheese				"Teifi is an unpasteurised cow's milk cheese from Wales. Produced by the Caws Teifi Cheese Company, this semi-hard cheese was created by John and Patrice Savage-Ontswedder.The cheese is similar to Gouda, with a deep sunshine-yellow interior. There are several varieties of Teifi, depending on the maturation period. When young, the cheese has a mellow, slightly sweet flavor and a smooth, creamy texture. As it matures, it develops deep, rich flavors with a hard and almost flaky texture, similar to Parmesan. The affinage usually takes two to nine months. Sometimes nettles, seaweeds, garlic, onion, sweet pepper and cumins are added for a distinct flavor. Available variants of Teifi cheese are: Natural Teifi Cheese, Seaweed Teifi Cheese, Onion and Garlic Teifi Cheese, Nettle Teifi Cheese, Cumin Teifi Cheese, Sweet Pepper Teifi Cheese, Oak Smoked Teifi Cheese, Mature Teifi Cheese and Chilli Teifi Cheese. The cheese melts in strings and therefore tastes excellent when heated, toasted and added as a flavoring on pizzas."
Telemea	pasteurized cow's or sheep's milk	Romania		Feta	"soft, semi-soft, brined"			rindless	creamy	white	"nutty, spicy, tangy"		SC DORNA LACTATE SA		"Telemea de Arges, Telemea de Brasov, Telemea de Carei, Telemea de Harghita, Telemea de Huedin, Telemea de Oas, Telemea de Sibiu, Telemea de Vâlcea"	no	"Telemea is a traditional Romanian cheese made by the Vlach or Wallachian people of Europe. Since 2005, the name Telemea is a protected designation of origin product of Romania. There are various types of Telemea official recognized under the PDO label such as Telemea de Arges, Telemea de Brasov, Telemea de Carei, Telemea de Harghita, Telemea de Huedin, Telemea de Oas, Telemea de Sibiu and Telemea de Vâlcea. Telemea is a soft, white cheese with a creamy texture and tangy aftertaste. In some cases, cow’s milk is also used. The cheese was originally produced only in Romania but when the Vlach population started spreading beyond their native country, the recipe became popular in European nations like Greece, Macedonia, Bulgaria and Poland. Sharing similarities to Feta, Telemea is used in salads and in pairings with snacks. There are a few variations with cumin seeds in it that assign the cheese a spicy aftertaste. As Telemea is stored in a brine solution, it gets saltier with age."
Teneri	buffalo's milk	Italy	Campania	Mozzarella	"soft, whey"				"creamy, soft and sticky"	white	smooth	"floral, fresh, nutty"	Casa Madaio			no	"Teneri is a fresh buffalo ricotta made by a Casa Madaio dairy farm in Cilento, Campania, Italy. It is produced by heating the mixture of fresh buffalo milk and whey obtained from buffalo mozzarella production until ricotta curds develop. Then the curds are drained and placed into moulds for maturation. Teneri has a smooth, delicate taste and a sticky, soft texture with a flowery aroma. This pearly white cheese is used as a desert and it pairs well with a sparkling white wine."
Tete de Moine	cow's milk	Switzerland	"Bernese Jura, Canton of Bern"	Swiss Cheese	semi-hard	50%							Various			no	"Tete de Moine AOP is a semi-hard, unpasteurized cow's milk cheese from Switzerland. It is classified as Alpine cheese or a Swiss-type chees, and was initially produced more than eight centuries ago by the monks.  It is believed that the monks staying at Moutier, the mountainous zone of the Bernese Jura in Canton of Bern, manufactured this cheese. And hence the cheese takes the name 'Tete de Moine', meaning 'Monk's Head'. It is aged for a minimum of 2_ months on a small spruce plank and is typically paired with a dry, white wine. The reddish-brown crust of the cheese is grainy, moist and lubricated and the yellow-to-ivory-colored paste is homogeneous, sticky and supple.  To enjoy the best taste, a tool called 'Girolle' was invented in 1982. A scraper attached to the central axis of the apparatus makes scrapping the cheese easier! Tete de Moine proves to be the best companion for Crisp White Wines such as Pinot Grigio."
Tetilla	pasteurized or unpasteurized cow's milk	Spain	Galicia		"soft, artisan"	25%		natural	"creamy, open, smooth and spreadable"	pale yellow	"bitter, buttery, mild, tangy"			"Queso Gallego de Teta, Queso de Teta de Vaca, Queso de Teta, Queso de Perilla"	Queso Tetilla	no	"Tetilla is a typical Galician cheese made from the herd of Friesians, Alpine Browns and Rubia Gallega cows. Since 1992, it has been one of the four kinds of cheese that received DOP recognition. The name Tetilla is Galician for 'small breast', which describes the shape of the cheese – a pear-shaped cone topped by a nipple. This cheese has a pale yellow, thin, natural rind, or sometimes no rind can be seen at all. Its texture is soft, thick and smooth with scatterings of air pockets. Yellowish ivory in color, Tetilla has a creamy mouthfeel with buttery, slightly bitter and tangy flavors surrounding the palate. The maturing, which takes place between 10 and 30 days, happens in the hot and humid climate of Galicia. Try Tetilla with a dry, full-bodied wine, sherry, young whites, manzanilla and especially the Galician whites - Albariño or Ribeiro. The Spanish love to consume cheese with quince paste, fruits, crackers, baked dishes and bread."
Texas Goat Cheese	pasteurized goat's milk	United States	Dallas	Mozzarella	"soft, artisan"			natural	smooth	white	mild	herbal	Mozzarella Company			no	"Fresh, mild and delicate chevre. This kind of cheese is used for snacks and breakfast and has a flavor of herbs."
Tezacki Iz Maslinove Komine	pasteurized cow's milk	Croatia	Dalmatian hinterland		"hard, artisan"			natural	"open, soft and supple"	yellow	"full-flavored, pronounced"	aromatic	SIRANA GLIGORA D.O.O			yes	"Tezacki Iz Maslinove Komine is a hard pasteurized Dalmatian cow milk cheese, aged for a minimum 6 months in pressed olive skins (pomace) from the Island of Skradin. As the wheels age, the cheese absorbs the flavor and aroma of olives, handing over a deep green firm rind and a robust, pronounced flavor profile to the supple paste. Prepared with vegetarian rennet, this artisan cheese pairs well with a red Plavac Mali from Plancic or white Marastina wine from _kaulj."
Tezacki Iz Mosta	pasteurized cow's milk	Croatia	Dalmatian hinterland		"hard, artisan"			natural	"open, soft and supple"	yellow	"grassy, nutty, smooth, sweet"	"aromatic, subtle, sweet"	SIRANA GLIGORA D.O.O			yes	"Tezacki Iz Mosta is a hard pasteurized Dalmatian cow milk cheese, aged for a minimum 6 months in pressed red wine grapes from one of Croatia's most renowned wine producers, Boskinac, on the Island of Pag. As the wheels age, it hands over the cheese a pungent purple rind complemented by a unique sweet and delicate aroma and taste with a softer, supple texture. The cheese is characterised by purple and red dots on the rind and the aroma of the wine with the natural grassy tones of the cow milk. The flavor is memorable, nutty, fresh, sweet and with a deeply complex and an exceptionally smooth finish. Prepared with vegetarian rennet, this artisan cheese pairs well with a red Plavac Mali from Plancic or white Marastina wine from _kaulj."
Tezacki Sir	pasteurized cow's milk	Croatia	Dalmatian hinterland		"hard, artisan"			natural	firm and open	yellow	"acidic, creamy, pungent"	"rich, strong"	SIRANA GLIGORA D.O.O			yes	"Tezacki Sir is a hard pasteurized Dalmatian cow milk cheese, aged for a minimum of 4 months. This gives it a firm and yellow paste with a few holes. Prepared from vegetarian rennet, this artisan cheese has a subtle pungency complemented by a creamy character and acidic taste. Pair this delicious cheese with white Malvasia wine from Skaulj or a red Plavac Mali from Plancic. Tezacki Sir is a bronze medal winner at the World Cheese Awards in the UK 2012, followed by Gold in 2014."
Tezacki Sir Extra Mature	pasteurized cow's milk	Croatia	Dalmatian hinterland		"hard, artisan"			natural	"brittle, flaky and open"	yellow	"full-flavored, nutty, sweet"	"rich, strong"	SIRANA GLIGORA D.O.O			yes	"Tezacki Sir Extra Mature is a hard pasteurized Dalmatian cow milk cheese, aged for a minimum 6 months. This gives the cheese quite a brittle texture which is perfect for grating over hot dishes. Prepared from vegetarian rennet, this artisan cheese has a robust and nutty mouthfeel with a slight sweetness that comes from the cows grazing on higher pastures. Pair this delicious cheese with white Malvasia wine from Skaulj or a red Plavac Mali from Plancic. Tezacki Sir Extra Mature is a bronze medal winner at the World Cheese Awards in the UK in 2012."
The City Goat	pasteurized goat's milk	United States	"Ann Arbor, Michigan"		"soft, artisan"				"creamy, crumbly and soft"	white	"sweet, tangy"	fresh	Zingerman's Creamery				"The City Goat is a hand-made cheese made from fresh goat milk, made by Zingerman’s Creamery based in Ann Arbor, Michigan, US. The milk is pasteurized at a low temperature that helps to retain its typical goaty flavor. A round shaped cheese is light and airy when fresh and firm, crumbly when aged. It has a mild and sweet taste with a very little hint of tanginess. The cheese can be used as an appetizer. It also goes well with roasted red pepper, pesto, honey or toasted almonds."
The Manchester	pasteurized cow's milk	United States	"Ann Arbor, Michigan"		semi-soft			mold ripened	dense and firm	pale yellow	"creamy, smooth"	"earthy, fresh"	Zingerman's Creamery			no	"The Manchester, crafted from pasteurized cow's milk, is one of the Zingerman's most flavorful products that can be eaten at different ages. When one week old, the texture is rich in a soft yoghurt flavor and when 3 weeks old, it develops a denser texture with creamy paste around the edges. As it ages, it develops a wrinkled rind and firmer texture with savoury, earthy flavor. This soft and creamy cheese with mild tang is versatile and can be served with crackers, oatcakes or sandwiches, topped with toasted almonds, hazelnuts."
Thomasville Tomme	unpasteurized cow's milk	United States	Georgia	Tomme	"semi-hard, artisan"			natural	open and semi firm	golden yellow	"buttery, grassy, salty, savory, smooth, tangy"	"earthy, rich"	Sweet Grass Dairy			no	"Thomasville Tomme is an aged, raw, cow's milk cheese produced by Sweet Grass Dairy in Georgia, United States. It is named after the town where the dairy is located. Semi-firm with a rustic, natural rind, the cheese is handcrafted in the style of a French Pyrenees Tomme with each wheel aged for up to at least 60 days. It is golden in color with a smooth, rich, and buttery flavor complemented by the grassy and tangy finish. The cheese tastes best with apricots and nuts and even goes great with your favourite salami sandwich. Try delicate Syrah or a light red wine like Pinot Noir as an accompaniment to the cheese. Beer lovers could go for hoppy pale ale as well."
Tibetan Cheeses	yak's milk	"China, Nepal and Tibet"	Tibet		artisan			natural			strong	"grassy, herbal, strong"					"Cheeses are an important part of Tibetan cuisine. Tibetans were among the first few Asians to make use of dairy products, but they don't sell novelty cheeses as the Westerners. Most of their cheeses include soft curds resembling cottage cheese is sourced from female yak milk, called ""Dri"". Butter is extracted from the milk of yaks and the remaining buttermilk, called ""dara"" is used for cheese-making.  Chura loenpa (ser) cheese is made from buttermilk. Chura kampo is a hard cheese made from the curds leftover from boiling buttermilk. Chhurpi cheese is made using solidified yoghurt. Shosha (churul / churu) is a soft cheese with a pungent smell is produced from cream and milk's skin (malai)."
Ticklemore	pasteurized goat's milk	"England, Great Britain and United Kingdom"	"Sharpham, Totnes"		"semi-hard, artisan"			natural	"crumbly, firm and open"	ivory	"lemony, milky"	"fresh, mild, milky"			Sharpham Ticklemore Goat	yes	"Ticklemore is a handmade cheese produced using pasteurized goat milk and vegetarian coagulant at Sharpham Estate. This cheese has a bloomy and white rind, firm-texture with a crumbly centre and a softer, chalky paste just below the rind. The paste is snowy white with small ""eyes"" and the cheese has a very rich and fresh lemony flavor."
Tieton Halloumi	goat's and sheep's milk	United States	"Tieton, Washington"	Pasta filata	"semi-soft, artisan, brined"				dense	white	"mild, nutty, salty"	"mild, nutty"	Tieton Farm & Creamery		Tieton Hallumi		"Halloumi is a firm, white cheese, made from a mixture of sheep's and goat's raw milk, produced by Tieton Farm & Creamery in Yakima Valley, Eastern Washington, US. This Mediterranean cheese is dense in texture and nutty, mild in flavor. The cheese tastes lovely when grilled. It is vacuum packed and sold in markets in various sizes."
Tillamook Cheddar	unpasteurized cow's milk	United States	"Tillamook, Oregon"	Cheddar	hard				creamy and crumbly	white	"mild, sharp"		Tillamook Cheese Factory			yes	"Tillamook Cheddar is an American cheese, made from a quality blend of cow’s milk. This milk mixture has the right amount of protein and butterfat. At the creamery, the milk is given heat shock treatment to ensure the protection of the beneficial enzymes in the milk, while also killing harmful bacteria. Vegetable rennet is added to coagulate the milk. Annato is added to give the cheese a consistent color. The whey is separated from the curds, which are placed on a wide mat. The curds are salted, stirred and pressed before being transformed into blocks of cheese. The cheddar blocks are then placed in an airtight, moisture-proof bags and are left to age. Each batch is tested by analysts to ensure the quality of the cheese. The cheddar cheese blocks vary in taste, texture and smell depending on how long it has been aged. It can be aged from anywhere from 60 days to more than two years. The flavor can range from mild to sharp, depending on the ageing. A sharp Tillamook cheddar cheese can be paired with; Cabernet Sauvignon, Syrah/Shiraz or Sauvignon Blanc; and mild or medium cheddar can be best paired with Pinot Noir, Sparkling Wine or champagne."
Tillamook Smoked Black Pepper White Cheddar	pasteurized cow's milk	United States	"Tillamook, Oregon"	Cheddar	hard			natural	firm and smooth	cream	"savory, smokey , spicy"		Tillamook Cheese Factory				"Tillamook Smoked Black Pepper White Cheddar is an American cheese, made from a quality blend of pasteurised cow's milk. The cheese has the right blend of hickory smoking blended with the spicy burst from black pepper. These savoury flavors though don't overshadow the creamy richness of the mature cheddar. If you are looking for some extra zing, this cheese will hit the right notes. A spicy Smoked Black Pepper White Cheddar cheese can be paired with a Chardonnay. Tillamook guarantees that all their cheeses are made from rBST (artificial growth hormones) free cow's milk."
Tilly Whim	unpasteurized cow's milk	"England, Great Britain and United Kingdom"	Dorset		"semi-soft, artisan"			natural	open and smooth	yellow	"earthy, full-flavored"		Chalke Valley Cheese Ltd			no	"Named after the caves in Dorset, Tilly Whim is a semi-soft colorful little cheese with a natural rind and a wonderfully smooth texture. It is ripened for around 6-10 weeks, during which the rind seeps its wonderful distinctive flavor into the cheese underneath. This unpasteurized cow's milk cheese has won many awards, including a silver medal at British Cheese Awards 2013 and gold medal at World Cheese Awards 2014."
Timboon Brie	pasteurized cow's milk	Australia	Victoria	Brie	"soft, artisan, soft-ripened"	48%		bloomy	creamy and smooth	pale yellow	mild	rich				no	"Timboon Brie is certified organic brie from Australia produced by Timboon Farmhouse, a subsidiary of National Foods. Produced in Victoria State, it is a soft cheese made from cow's milk. The milk is certified; meaning only biodynamic milk (a type of organic milk) is used to make the cheese. Timboon Brie is a table cheese with a velvety penicillium crust and a creamy paste.  It imparts a gentle flavor and a wonderfully rich taste on the palate with no hints of bitterness.Production of Timboon Brie has stopped from the time when Timboon Farmhouse Cheese closed its doors in 2009."
Toma	pasteurized cow's milk	Italy	Aosta Valley and Piedmont regions of Northern Italy		semi-hard	45%		natural	creamy	pale yellow	"buttery, creamy, tangy"	grassy				yes	"Toma is one of the most famous Italian cheeses. The name Toma is derived from the process of cheese making. 'Toma' actually means 'cheese made by the farmer himself'. It is produced primarily in the Aosta Valleys and Piedmont regions of Northern Italy. This soft or semi-hard cheese is made from Italian cow's milk and has excellent melting qualities. Closely related to the French tome, Toma comes in various types. The type is usually named after the region and the place it is made. Toma Piemontese variety, which has PDO status (Protected Designation of Origin) under the EU, comes from Piedmont legislation, while Toma di Gressoney, recognized as 'Prodotto AgroalimentareTradizionale', comes from Gressoney Valley. The cheese tastes best when grilled and served with burgers, sauces and casseroles. It also goes well with peaches, honey, fruit compotes, fig jam, toasted nuts, balsamic syrup, and sautéed greens."
Toma Blu Alle Erbe	pasteurized cow's milk	Italy	Veneto	Blue	"semi-hard, blue-veined"			natural	compact	cream	"herbaceous, pronounced"	"aromatic, pleasant"	La Casearia Carpenedo S.r.l.			no	"Toma Blu Alle Erbe is a semi-hard blue cheese, matured in barrels with hay and aromatic herbs. Its intense flavor and pleasant aroma, remind of underbrush' perfumes. The cheese is made from pasteurized cow's milk and aged for a minimum of 3 months. It pairs well with dessert wines and white wines."
Toma di campo	pasteurized cow's milk	Italy	Piedmont		"soft, artisan"			natural	soft	yellow	mild	"herbal, mild"	La Casera srl			no	"Toma di campo made with pasteurized cow milk comes from La Casera of Italy in the Piedmont region. This is a mild flavored cheese with vegetable aromas, thin grey crust and elastic yellow paste. The cheese is matured for approximately 60 days in the hay of Ossola valleys. The rind is inedible."
Toma di vacca alle vinacce	pasteurized cow's milk	Italy	Piedmont		"soft, blue-veined"	45%				ivory	"fruity, sweet"		La Casera srl				"Toma di Vacca Alle Vinacce is a pasteurized cow milk cheese from La Casera of Italy in the Piedmont region. It is ripened in the Marcs for a month. When aged, the ivory white colored paste is sweet and fruity - spicy in flavor. The seasoning varies from 90 to 150 days. It is available throughout the year."
Toma Piemontese	pasteurized cow's milk	Italy	Piedmont	Tomme	"semi-soft, artisan"		7670 mg/100g	natural	"creamy, firm, open and smooth"	straw	"full-flavored, sweet"	pleasant		 Toma del lait brusc			"Toma Piemontese is a PDO cheese made in the Piedmont region of Italy from pasteurised cow’s milk. The aroma, flavor, pate and texture of Toma Piemontese vary depending on whether it has been produced with whole fat milk, or if it is a semi-fat version with skimmed milk. In the first case, the pate is straw yellow with evenly distributed “eyes”, sweet, pleasant flavor and a delicate fragrance. The rind is elastic and smooth and appears deep straw-yellow to reddish brown based on the seasoning. If the cheese has been made from skimmed milk, it has a wrinkly and not elastic rind, straw white pate and tiny eyes and an intense flavor that varies with seasoning. Whole fat Toma goes well with Italian dishes such as frittata, gnocchi, and risotto and pasta fillings. Whereas, semi-fat Toma tastes best with bread, jam, honey, nuts and baked with potatoes, quiches and fondue. Strong red wines such as Dolcetto, Carema and Barolo go well with aged Tomas while light white wines make a better pairing with young Tomas."
Tomme	pasteurized cow's milk	United States	California	Tomme	"semi-soft, artisan"			natural	creamy	straw	"milky, tangy"	mild	Weirauch Farm and Creamery				"Tomme is a cow's milk cheese from Weirauch Farm & Creamery. It is aged for 2-6 weeks, during which it develops a mild, milky tang and a semi-soft interior. The cheese pairs with both sweet and savoury, especially when melted atop Fresh potato dishes like Aligot. Accompany it with full-bodied wines, mead and dark beers. This cheese is USDA Certified Organic by CCOF."
Tomme Brulee	unpasteurized sheep's milk	France	Basque	Cheddar	hard			natural	firm	white	"smokey , strong, sweet"	pungent				no	"Tomme is a prefix attached to the cheese produced in the Savoy Mountain region of France. This cheese is produced in the Basque region. Tomme Brulee is made from unpasteurised sheep's milk. The rind is singed with a flame so that it acquires a distinct appearance and a strong, sweet and smoky flavor. It has a firm texture with a pungent aroma. This cheese is best complemented by a Malbec or a Cabernet Sauvignon."
Tomme de Chevre	unpasteurized goat's milk	France	"Haute-Savoie, Abondance, Maurienne and Tarentaise"	Tomme	"semi-soft, artisan"	45%		bloomy	creamy	pale yellow	fruity	"goaty, strong"			Tomme de Chevre de Savoie	no	"Tomme de Chevre or Tomme de Chèvre de Savoie is an artisanal goat’s milk cheese made in Savoie and Haute-Savoie regions of France, in the valleys of Abondance, Maurienne and Tarentaise in particular. First developed in the 17th century, Tomme de Chèvre de Savoie is a moist, white uncooked pressed cheese with a bluish grey bloomy rind. Made from full-fat raw milk, the cheese casts out a strong goaty smell with flavors reminiscent of fruits and hazelnut. The cheese is matured for seven weeks before sold as a Tometta or toma cylinder. The cheese is best eaten with potatoes, bread or melted like a raclette. White wines from Savoie, Apremont, Abymes or Roussettes perfectly complement this mountain cheese."
Tomme de Romans	pasteurized cow's milk	France	Rhone-Alpes		"semi-hard, blue-veined"			natural	creamy	blue	"nutty, smooth, sweet"	"grassy, sweet"				no	"Tomme de Romans is a French cheese that used to be made from goat's milk, but now it is almost exclusively industrial or artisanal, made from pasteurised cow's milk. This cheese is sold in wooden trays lined with straw. Tomme de Romans cheese has a slightly sour, grassy flavor with a delicate, nutty finish. It smells slightly of a cellar in which it is matured. The maturation period is at least 10 days. And the fat content is 45-50%."
Tomme de Savoie	unpasteurized cow's milk	France	Savoie	Tomme	"semi-soft, artisan"	20-40%		natural	"open, semi firm and supple"	ivory	"citrusy, grassy, milky, mushroomy, nutty"	"barnyardy, earthy"				no	"Tomme is a name given to a family of cheeses produced in the French Alps and Switzerland. Generally, all Tomme cheeses are named after the village where they are produced. Tomme de Savoie is one such variety of Tomme cheese made in the Savoie region of northwestern France. Tomme de Savoie is made from raw, skimmed cow’s milk after the cream is drained to make butter. That is why it contains 20-40% fat. The taste of the cheese varies throughout the year depending on whether the milk comes from cows eating winter hay or fresh summer grass. The maturing takes around 2-4 months, during which the cheese starts developing a thick grey rind with patches of yellow or red moulding. Tomme de Savoie is a semi-soft, pressed cheese with a pliable, firm texture and grassy, nutty flavor. It has numerous irregular eyes spread throughout the ivory-colored paste with some tangy, slightly citrusy and mushroomy notes underlined by the odours of a cave. The cheese pairs well with medium-bodied red wines from Côtes du Rhône, sausages, fruits and bread."
Tomme des Chouans	cow's milk	France	Pays de la Loire	Tomme	soft			natural	chewy and creamy	pale yellow	mild					no	"Tomme des Chouans is a cow’s milk cheese produced in the Vendée département of Pays de la Loire, France. It is a soft, creamy and chewy cheese with a delicate taste. Identified by its characteristic striped rind, Tomme des Chouans is an uncooked pressed cheese, sold in the form of a 1.2 - 1.4 kg cylinder. The cheese is only made from spring to fall and matured for 2 months. It is perfect for beginners who are learning to develop likeliness for cheese."
Tommes	"pasteurized or unpasteurized cow's, goat's or sheep's milk"	France and Switzerland		Tomme	semi-soft			natural	firm	pale yellow	buttery	milky					"Tomme (Tome) is a generic term for a group of cheeses produced mainly in the French Alps and Switzerland. Usually, Tommes are cheeses produced from skimmed milk after removing the cream to make butter and full cream cheeses. As a result, they are low in fat. Cheeses belonging to this class adopt the name of their place of origin, the most famous being Tomme de Savoie from Savoie in the French Alps. Other Tomme cheeses include Tomme du Revard, Tomme Boudane, Tomme au Fenouil, Tomme de Grandmère, Tomme d'Aydius, Tomme Affinée and Tomme de Crayeuse. Tomme is a complex cheese with a milky and buttery aroma. The texture is semi-soft or firm. Its pate is often white to light yellow and is covered with ivory to a yellow rind. The cheese tastes delicious with fresh or dried fruit and a glass of red wine."
Torta del Casar	unpasteurized sheep's milk	Spain	Extremadura		"soft, artisan"	45%		natural	soft	straw	"grassy, sour, tangy"	lanoline		Atortao		yes	"Torta del Casar DOP (PDO) is a Spanish cheese made from raw sheep’s milk in the Extremadura region, near the Portuguese border. Named after Casar de Cáceres, its city of origin, the shepherds who made the cheese used to call it 'atortao' because it was shaped like a cake or 'torta'. Torta del Casar is a very rare cheese since it is made from the milk of Merino and thistle rennet (NON-GMO, 100% flower extract rennet) which gives a sour and tangy taste. Torta del Casar is vegetarian produce coagulated with cardoon, a wild thistle that adds a slightly bitter note to the cheese. The cheese, rich and slightly salty in taste, is aged for at least 60 days, upon which it develops a semi-hard, yellow to an ochre crust and a soft, spreadable, creamy, almost runnier paste. Torta del Casar can be enjoyed as an appetizer or dessert, spread on bread with a glass of dry, red wine."
Toscanello	pasteurized sheep's milk	Italy	"Tuscany, Umbria, Lazio"	Pecorino	"hard, artisan"			natural	creamy and crumbly	white	"nutty, salty"	grassy		Pecorino Toscano		no	"Toscanello (Pecorino Toscano) is a classic Italian cheese produced within the protected and specific region (PDO/DOP). Made using sheep’s milk, Pecorino Toscano is an artisanal cheese created by farmers located in Tuscany and nearby districts of Umbria and Lazio. Full cream and pasteurised milk is used to make this cheese. The cheese is matured in a cellar for a period varying from three and six months; during the maturation process, it develops an identifiable texture and flavor. When fresh, Pecorino Toscano is mild and creamy with leafy overtones. The matured cheese is hard and used for grating.  The delicate flavor of a young pecorino Toscano is used in salad-based starters. The matured version goes well with honey or jam, fresh vegetables or fruits (pears and figs)."
Touree de L'Aubier	cow's milk	France	Lower Normandy		"soft, soft-ripened"	40%		bloomy		yellow	woody		Various		Tourrée de l'Aubier		"Tourree de l'Aubier is a French word which means 'Sapwood' or 'Spruce wood' in English. The cheese is named after this tree because the rings of Spruce wood are wrapped around the cheese when the cheese is young. The Spruce wood rings are collected in the woods of the Jura, in the east of France. Made from cow's milk, Tourree de l'Aubier is packed in small packages as well as larger versions which have longer ripening period. As soon as the drying time of two to three months gets over, the Spruce rings are wrapped around a fresh loaf of cheese by hand. The interior of this cheese remains soft while exterior gives a pronounced taste as the wood rings are removed only after the cheese loaf is cut and just before the cheese is to be consumed!"
Tourmalet	unpasteurized sheep's milk	France	Pyrenees		"semi-hard, processed"	50%		rindless	chewy and smooth	pale yellow	nutty	musty				yes	"Tourmalet cheese is a farmhouse version of Petit Basque, a well-known Basque-style cheese. It originates from the Laruns Valley in the foothills of the Pyrenees and is named after a mountain in the region where it is produced. Semi-Hard with smooth and chewy textured cheese, Tourmalet has a meaty finish and a distinctive, nutty flavor. Tourmalet pairs well with Madiran (the local red), Viognier wines, and wines made with Sauvignon Blanc."
TouVelle Original	pasteurized cow's milk	United States	Oregon	Cheddar	"semi-hard, artisan"			natural	crumbly and firm	pale yellow	"milky, nutty, sweet, tangy"	"buttery, mild"	Rogue Creamery			yes	"TouVelle Original is a genuine American cheese made from whole non-standardized rBST free milk. It is aged for over 30 days using techniques and cultures employed in America's favourite cheeses, such as Cheddar, Jack, and Gouda. This semi-hard cow's milk cheese is mild, yet full flavored and melts thoroughly and evenly. TouVelle appeases to all palettes with flavors of sweet cream, milk chocolate, roasted nuts, and a hint of vanilla, balanced by a slight tanginess. Moreover, it is vegetarian-friendly and gluten-free."
Tozzetto	buffalo's milk	Italy	Campania		soft				buttery	straw	nutty	"fresh, milky"	Casa Madaio				"Tozzetto is made from buffalo's milk and butter by a Casa Madaio dairy farm in Cilento, Campania, Italy. The taste of this cheese is sweet and nutty with a smooth feel of fresh milk. When pressed and aged, the cheese becomes firm and creamy giving away hints of almonds."
